content,score,date,brand,가격,세정력/거품,향기,트러블/진정,배송/서비스/고객대응,탈모 효과 및 쿨링감,머릿결*
세통 쟁여놨고 전에 샀던 한 통 거의 다 써가는 중인데 두피랑 두피라인에 여드름이 엄청 생겼어요ㅠㅠ 원래 두피 여드름이 잘 나는 타입이긴 한데 이 샴푸 성분이 좋다고 해서 써보고 첫 한 통의 반정도 쓸 때까지도 효과가 좋았거든요 두피 여드름도 사라지고 비듬도 없어지고 좋아서 세통 더 사놨는데.. 한통 거의 다 쓸 때쯤 되니 두피가 엄청 뒤집어 졌네요 두피 여드름이 한달내내 거의 사라지질 않아서 호르몬이나 다른 영향 같지는 않고 이 샴푸가 저랑 안 맞는것 같아요 세통 쟁여놓은 건 아깝지만 다시 샴푸 유목민의 길을 가야 할 것 같습니다ㅠㅠ,1,21.02.21.,이지마인드,,,,0.0,,,
탈모는 기존과 동일합니다. 향이 너무 자극적이어서 눈이 따갑습니다.,1,21.01.28.,이지마인드,,,0.0,,,,
저한테는 안맞는거 같아요 처음에는 써보니 머릿결도 부드러워 지고 만족스러웠는데 2주가량 써보고나서 머리가 가려워지고 머리가 빠지기 시작하네요 지루성 두피염이 온거같아요 괜찮다고 해서 샀는데 저랑은 안맞는 샴푸인거 같습니다,1,21.01.12.,이지마인드,,,,0.0,,,1.0
거품은 많이 나는데 하나도 안개운하고 찝찝해요 후기믿고 샀는데 후회되네요..,1,21.01.18.,이지마인드,,0.0,,,,,
심하게이샴푸사용하고비듬폭탄이되었습니다..남편아이들저까지..사용하고너무심하게비듬이생겨서정말화가납니다..,1,21.01.17.,이지마인드,,,,0.0,,,
이걸로 감으면 머리가 냄새나요ㅜ,1,21.01.18.,이지마인드,,0.0,,,,,
아니 오래기다려 받앗는데 펌프도 안되는걸 보내주심 어쩌란겁니까!죽어라 눌러도 안나오고 어찌쓸지.. 샴푸가 떨어져 교환도 못하겟고 아놔 진짜 짜증이네여!!,1,20.12.17.,이지마인드,,,,,0.0,,
"쓰자마자 뾰루지가 올라오네...;; 이제껏 비누, 티에스, 나인밀라, 녹차실감, 테라피 등등 많은 샴푸를 써봤지만  사용 후 3일 만에 뾰루지 올라온 샴푸는 정말 처음.. 기대 진짜 많이 했는데 안타깝네요",1,20.08.25.,이지마인드,,,,0.0,,,
민감성 두피입니다  이 샴푸쓰면 두피가 가려워요ㅠㅠ,2,23.08.19.,라보에이치,,,,0.0,,,
두피가 복합성에 탈모가 심해서 구입했는데 별로예요 두번쓰고 안씀요,2,23.03.10.,라보에이치,,,,,,0.0,
400그람작은병이었네요. 비싸게 샀네요.,2,23.01.27.,라보에이치,0.0,,,,,,
와 한달사용 했는데 두피에 트러블 너무 올라오네요~~T T 사용하다 중단!!,2,23.02.07.,라보에이치,,,,0.0,,,
지금 사용 중 효능은 모르겠음,2,22.11.14.,라보에이치,,,,,,,
오늘 상품을 받아 개봉하니 사진처럼 내용물이 나오는 곳이 뜯어진채로 왔습니다 상품 보내실때 검수안하시나요? 쓰기도 전에 불쾌하네요.. 반품 귀찮아서 그냥 쓰지만 상품 보내실때 한번더 꼼꼼히 검수해주세요,2,22.02.06.,라보에이치,,,,,0.0,,
두피가 엄청 건조해지는 느낌.. 각질 비듬이 많이 생겼어요ㅜㅜ,2,22.02.14.,라보에이치,,,,0.0,,,
탈모샴푸인데 모발이 부드러워요,2,21.11.25.,라보에이치,,,,,,,1.0
제품은 뭔가 신경을 많이 써서 만든거같은데 저랑은 안맞아서 개인적으로 너무 아쉬웠던 제품입니다.. 두피에 뾰루지가 많이나서 한동안 고생했습니다 지금은 묵묵히 욕실 선반을 지키고있네용 ㅠ,2,21.05.14.,라보에이치,,,,0.0,,,
계면활성제가 비중이 너무 높은지 제 머리에는 많이 건조합니다. 데일리로는 사용하지 못할 것 같아요.,2,21.03.03.,라보에이치,,,,0.0,,,
원래 다른 샴푸 쓰다가 화해에서 성분 순하고 좋은걸 보고 구매했어요! 만족하면서 썼으나..... 이전 샴푸동안 풍성해졌던 잔머리가 어느새 다 탈락되어 없어져서 너무 놀랐습니다 ㅠㅠ 제 인생 제일 넓어보이는 이마가 되었어요.... 결국 사용 중단하고 이전 샴푸로 돌아갔습니다 ㅠㅠ 맞지않아 속상하네요..,2,21.02.16.,라보에이치,,,,,,0.0,
후기만큼 성능이 좋지는 않은 것 같아요... 사용 후 트러블도 좀 생기는 것 같구요.,2,20.12.09.,라보에이치,,,,0.0,,,
딸아이들과 같이 사용하는데 약간 시간지나면 기름진느낌이들어요 개운한느낌이 없네요,2,20.11.27.,라보에이치,,0.0,,,,0.0,
저는 이 샴푸 사용하고 머리빠짐이 더 심해졌어요..ㅠㅠ 세정력은 좋아서 다음날에도 떡짐이 덜해요!,2,20.11.25.,라보에이치,,1.0,,,,0.0,
이거 때문이었는지는 모르겠는데 1~2주정도 사용하고 두피에 염증이 생겼습니다. 현재는 기존 샴푸로 바꾸고 치료해서 나아졌지만 쓰는 중간중간 너무 가렵기도 했고 원래 지루성두피염이 있지는 않았는데 처음 생겼어요. 거품이 많이는 나는데 세정력이 좋은거같지는 않습니다.,2,20.09.29.,라보에이치,,,,0.0,,,
지루성이 심한 샴푸 유목민입니다  가렵고 기름도 빨리 생기고 두피도 빨긋빨긋하고 머리카락도 많이 빠져요 유튜브에서 평이 좋길래 구매해봤는데 저한테 안 맞나봅니다 한달넘게 사용했는데 일단 제가 사용을 중단한 이유는 뾰루지때문이에요 이샴푸를 쓰면 두피에 뾰루지가 납니다 다른 샴푸쓰면 괜찮아지구요 뾰루지 때문에 두피가 가렵고 아픕니다 샴푸는 3분 동안 방치했다가 헹구어야 효과 있다고 해서 항상 그렇게 했어요 머리 기름기는 잘 잡아주는것 같아요 정수리 냄새가 빨리 생기지 않아요 근데 머리카락은 계속 많이 빠지네요,2,20.08.24.,라보에이치,,0.0,,0.0,,0.0,
머리가 찰랑거리는 느낌이 아니구 무거움,2,20.10.06.,라보에이치,,,,,,,0.0
지성 두피에게는 추천하지 않습니다.,2,20.10.20.,라보에이치,,,,0.0,,,
솔직히 이 샴푸써도 머리 빠지는건 똑같은거 같구 ... 박하향때문에 두피가 시원하긴한데 .. 떡졌을때처럼 머리카락이 무거운 느낌이 듭니다 . (떡지는건 아니지만),2,20.09.16.,라보에이치,,,,,,0.0,0.0
머리카락이 안뻑뻑하고 부드러워요 그것빼곤 별로입니다 두피가 간지럽고 헹굴때도 머리카락이 많이 빠지네요 저한테는 안맞아요,2,20.09.23.,라보에이치,,,,0.0,,0.0,1.0
머리빠지는거똑같아요 별로예요 양도적어요,2,20.09.21.,라보에이치,,,,,,0.0,
예전에 드피에 좋다는 샴푸 썼을깨도 갑자기 머리가 많이 빠졌는데 이번에도 동일하게 머리가 많이 빠지네요  성준을 보니 동일하게 소듐코코일이세티노이드가 들어가네요..아무래도 이성분이 저랑 맞지 않는듯 해요. ㅠ,2,20.09.07.,라보에이치,,,,,,0.0,
기름이많이낌.. 탈모치료기대는안햇으나 기름이이렇게끼면의미가?.,2,20.08.28.,라보에이치,,0.0,,,,,
감고나서 개운한 기분은 있는데  저도 신랑도 기름이 빨리지고 두피에 뾰루지가 나네요. 아쉬워요ㅠㅠ재구매는 생각해봐야할듯ㅠ,2,20.08.08.,라보에이치,,0.0,,0.0,,,
유투브에서 성분이 좋다고 하길래 사봤어요.  남편은 시원하다고 좋아해요.  하지만 전 눈이 매워서 샴푸하는 내내 눈을 못떴어요 ㅜㅜ  그동안 사용했던 샴푸는 눈이 따가운 제품이 없었는데 ㅜㅜ  요제품은 성분이 좋다는데 왜 눈이 맵고 따갑죠?  계속 쓰면 익숙해 질까요?   몇번더 사용해보고 눈 따가움이 계속되면  남편만 쓰게하고 전 다른걸 써야겠어요,2,20.07.09.,라보에이치,,,,0.0,,,
솔직한 후기 써봅니다  일단 사용할때 사람기준마다 다 다르겠지만 따끔하거나 간지럽지는 않았어요 냄새도 솔직히 독하다 못맡겠다 그정도도 아니고  솔직히 최소 6개월은 써봐야 두피에 도움이 되는지 안되는지 알수 있을꺼 같네요 하루아침에 드라마틱하게 도움이 되면  대한민국에 탈모인은 없겠쥬  그전에 쓰던게 어헤즈 샴푸인데 둘다 비슷비슷하네요,2,20.07.02.,라보에이치,,,,,,,
샴푸 후 두피가 간지럽고 머리 떡짐도 개선이 안되서 더는 못쓰겠어요~ 아쉽지만 저랑은 안맞는 것 같네요~,2,20.07.09.,라보에이치,,0.0,,0.0,,,
효과를잘모르겠어요.....,2,20.07.24.,라보에이치,,,,,,0.0,
샴푸로 감고 10분 넘게 헹구는데도 덜 씻긴듯한 느낌이 있네요;;;  감고 두피가려움증도 생겨서 저랑은 잘 안 맞는거 같아요,2,20.06.13.,라보에이치,,0.0,,0.0,,,
"한달써보고 남기는 후기! 저는 어렸을적부터 모발이얇은편이고 펌,염색을자주하다보니 결국 숱이점점 줄더군요 그러다 출산후 머리가와다다다빠졌습니다 탈모샴푸는 안써본거없이 거의다써봤다할정도에요 일단 라보에이치는 향을 시원한솔잎향이고요 거품도잘나는편이에요! 대신 저희바르는트린트먼트쓰고 난뒤 감을때는 미끌거리며 잘안닦여서 두번감아용ㅠㅠ 신랑이나 저나 이샴푸쓰고난뒤로 두피에 뾰루지가 나서 아쉬웠어요ㅠㅠ 신랑이 저보고..정수리냄새가 너무난데요 요거쓰구나면 이상하게 머리에 떡진냄새가 많이나더라고요.. 가족들도 어쩌다 머리감은거맞냐고 하시네요 저랑은 다소 아쉬웠던 제품이였던것같아요",2,20.04.24.,라보에이치,,0.0,0.0,0.0,,,
거품은 많이나는데 머리가  많이 빠지고 머리결이 너무 수세미같아요ㅜ,2,20.06.08.,라보에이치,,1.0,,,,0.0,
광고가 엄청나서 기대를 한지몰라도.. 무난무난한 샴푸지만  머리의 볼륨이 안살고 축쳐져요..,2,20.05.19.,라보에이치,,,,,,,0.0
머릿결은 탄력이생기는데  저랑은안맞는지 머리가 더 빠지네요,2,20.05.04.,라보에이치,,,,,,0.0,1.0
탈모삼푸 많이 사용해봣는데 별루네요 향이 약간 고무냄새(?) ㅠㅠ 다른 거랑 번갈아가면서 사용해야 할듯,2,20.03.30.,라보에이치,,,0.0,,,,
별로 효능 모르겠어요,2,23.06.25.,이지마인드,,,,,,0.0,
한달 이상 정도 써봤는데 글쎄요.. 드라마틱한 부분은 바라지 않지만 조금의 효과도 없는 것 같습니다.. 너무 이런 홍보에 믿었었나봅니다.. 거품은 소량에도 잘 나긴 합니다.,2,22.11.04.,이지마인드,,1.0,,,,0.0,
리뷰 믿고 구매해서 식구들과 함께 한달 넘게 사용했는데 비듬이 좀 생겼어요. 저만 그런줄 알았는데 아들도 많이 생겼네요. ㅜㅜ 3통을 사서 버릴수도 없고 그냥  아쉽네요.,2,21.03.29.,이지마인드,,,,0.0,,,
회사 사람들이랑 공구 했는데 저빼고 다른사람 전부다 부피가 가려워서 못쓴다고 하네요~ㅠㅠ,2,21.04.06.,이지마인드,,,,0.0,,,
머리를 감은후 계속 미끄럽고 기름이 빨리집니다. 건성으로 기름이 많은 두피도 아닌데.. 그리고 머리카락이 이전 샴푸를 사용할때보다 훨씬 많이 빠지네요 성분은 의심치 않지만 저랑 안맞는듯..ㅜ 향기는 좋아요,2,21.02.07.,이지마인드,,0.0,,,,0.0,
대용량으로 가성비는 좋은데 두피 트러블이 심해지는 건지 아님 트러블 개선에 도움이 되지 않는 건지 잘 모르겠어요 ㅠㅠ효과는 그저그래요,2,21.02.28.,이지마인드,1.0,,,0.0,,0.0,
거품이 너무 많아서 겉돌아요,2,21.02.16.,이지마인드,,0.0,,,,,
양이 많고 향도 좋지만 내 두피랑은 잘 안맞았던 것 같음ㅠㅠ 각질도 일어나고....ㅠ 머리도 간지럽고.....기존에 사용했던 샴푸로 돌아가니까 그런 현상이 안일어남...ㅠㅠㅠ 화장품은 사바사라고 했는데 아쉽지만 나랑은 안맞는 제품이었음,2,21.01.09.,이지마인드,,,1.0,0.0,,,
향기좋고 머리도 부드러워져서 좋은데 두피에는 안좋은 것 같아요ㅠ,2,21.01.27.,이지마인드,,,1.0,,,,1.0
가성비 좋은 짐승용량에 향이 좋은 건 맞습니다. 그러나 지성이신 분들께 맞지 않습니다. 30년 인생 처음으로 머리에서 비듬이 폭발하고 간지럼증 도졌네요.,2,21.01.10.,이지마인드,1.0,,,0.0,,,
향이 너무 강해서 눈이 따까울 정도입니다. 욕실에서도 향이 한참 남아있어 강제 환기 필수입니다.  다른 분분은 만족스러운데 향료만 지금보다 적게 들어가면 좋겠습니다.,2,20.12.23.,이지마인드,,,0.0,,,,
"비듬많고 기름좀 있고 지루성 약간 있어서 나름 화해에서 검색해보고 삼. 20가지 주의성분 1개 로 성분 나름 좋다 싶고, 용량도 1000ml  에 가격까지 나쁘지 않아 고민없이 바로 구매했지만...... 20가지 주의 성분 1개가 향료인데 이 향료를 샴푸에 때려박은건지 한번 머리감으면 욕실에 향내 진동함. 향이 폴폴 나는건 나쁠건 없음,,하지만 결론적으로 나는 지금 비듬이 늘어남. 향내가 구려도 두피깔끔하고 기름도 안지고 그랬으면 충성고객 예약 했겟지만. 비듬도 줄지않고 늘고 두피기름도 잘 안 씻겨서 가렵고 재구매는 안하고싶은데 가격대비 용량이 좋아서 몹시 고민중임,,,,",2,20.10.06.,이지마인드,1.0,0.0,0.0,0.0,,,
글쎄요  이샴푸를 사용하고 두피 각질이 생겼어요 민감한 피부엔 안좋은것 같네요 참고하시길 바랍니다,2,20.09.29.,이지마인드,,,,0.0,,,
향수 나는 샴퓨로 검색해서 구입했는데  실제 향이 약하고 못 느껴서 실망입니다.,2,20.08.09.,이지마인드,,,0.0,,,,
한달 정도 꾸준히 써봤는데 효과도 없고 오히려 비듬이 생겼어요..ㅠ,3,23.09.01.,라보에이치,,,,0.0,,0.0,
샘플은좋았는데  좀 감고나도 기름이있어요,3,23.09.01.,라보에이치,,0.0,,,,,
배송 빠르고 만족합니다,3,23.08.18.,라보에이치,,,,,1.0,,
배송빠르고괜찮은거같아요 ~~,3,23.07.10.,라보에이치,,,,,1.0,,
심한지성두피인데 늘만족하고썻어요 뽀송 근데 이번에 주문한건 뽀송하지않고  끈적거리네요,3,23.07.09.,라보에이치,,,,1.0,,,
지성두피엔 안 맞는것 같아요 다른 샴푸보다 빨리 떡지는 느낌이에요,3,23.07.18.,라보에이치,,,,0.0,,,0.0
머리가 너무 빠져서 고민하다 구매했어요 샴푸시에 쿨감은 있는데 덜 빠지는 건 모르겠어요 더 써봐야될 것 같아요,3,23.06.12.,라보에이치,,,,,,,
샴푸가 건조한 편이에요.. 머리가 푸석해요.. 탈모효과는 잘 모르겠어요,3,23.06.14.,라보에이치,,,,,,,0.0
그냥 보통 샴푸인것 같아요  근데 샴푸후 린스 트린트먼트 필수 안하면 개털ㅠㅠ,3,23.05.28.,라보에이치,,,,,,,0.0
가족들 같이 쓸꺼라 구매 했는데 각자 맞는 제품을 사야되는건지...ㅋ 그냥 보통이예요. 빠지긴하네요. 좀 더 열심히 써봐야겠어요.,3,23.05.26.,라보에이치,,,,,,,
배송빨리와서 좋아요.!,3,23.05.23.,라보에이치,,,,,1.0,,
세척이 잘되는 느낌이 아닌거 같아요,3,23.05.21.,라보에이치,,0.0,,,,,
음 유튜브에서 추천하길래 구매했어요 알갱이 든 거랑 같이 구매했는데 전 초록색보다 알갱이가 더 잘 맞는거같아요 이건 머리가 더 부시시한 느낌이네요,3,23.04.20.,라보에이치,,,,,,,0.0
한통 다 비우고 후기를 남겨 보자면.. 그냥 평범했어요 다만 저는 원래 밤에 머리를 감는데 이 샴푸는 다음날 아침되면 머리가 떡져 있어서.. 재구매는 안할거 같습니다.,3,23.04.10.,라보에이치,,0.0,,,,,
지성 두피가 쓰기엔 세정력이 쬐끔 부족해요 건성 두피는 괜찮을듯...,3,23.03.28.,라보에이치,,0.0,,,,,
탈모에 효과가 있는지는 모르겠고 일단 세정력 좋고 거품 잘 나서 좋음,3,23.03.14.,라보에이치,,1.0,,,,,
"순한편은 아닌것 같아요 가끔씩 자극이가서 두피트러블이 올라올때가있어요~ 그리고 크리미해서 그런지 볼륨을 주는 샴푸는아니예요탈모효과는 머리카락 많이빠지는거보니 모르겠고, 가성비는 괜찮은것 같아요",3,23.01.29.,라보에이치,1.0,,,0.0,,0.0,
냄새가 기름져서 바로올라와요,3,23.01.13.,라보에이치,,,0.0,,,,
저한텐 뾰루지가 나서 안맞았어요,3,22.12.21.,라보에이치,,,,0.0,,,
모발이   좀  뻣뻣해져서  재구매는  고민을 해봐야겠어요.,3,22.12.20.,라보에이치,,,,,,,0.0
민감한 두피인데.. 한달을 써봐도 두피에 괜찮은거 같아요.. 근데 탈모효과는 모르겠어요..,3,22.11.28.,라보에이치,,,,1.0,,,
매번 쓰는 샴푸에요. 세일해서 저렴하게 잘 산 것 같아요!,3,22.11.28.,라보에이치,1.0,,,,,,
일요일 오후에 주문했는데 월요일 아침에 도착했어요 배송은 최강이네요  그런데 박스나 케이스도 없이 샴푸만 딸랑 먼지 쌓인 채로 와서 내용물은 별로네요,3,22.11.22.,라보에이치,,,,,,,
빠지른건 그대로 머리도 뻑뻑해요,3,22.11.17.,라보에이치,,,,,,0.0,0.0
"1,2개씩 구매했었는데 가격이 갑자기 확 오른거 같아서 세일하길래 몇개 더 구매했어요 디렉터파이님이 성분좋은 샴푸로 추천주셔서 꾸준히 쓰고있는데 성분은 좋은거 같고 탈모샴푸라 펌이후 모발이 많이 상했는데 엉켜서 그런지 머리가 많이 빠지네요...",3,22.10.15.,라보에이치,,,,,,0.0,
세정도 좋은데 머리윤기가 마음에 들어용,3,22.10.24.,라보에이치,,1.0,,,,,1.0
탈모  예방에 좋다고 사는는 했는데....잘..,3,22.10.31.,라보에이치,,,,,,0.0,
딱히 맘에 들지는 않는데.. 특징이라면 샴푸향이랑 있긴한데 거의 없는편..,3,22.10.22.,라보에이치,,,,,,,
다소 아숴워요. 세정력이… 근데 성분이 성분이다 보니 그럴수 밖에 없는거라고 생각됩니다,3,22.07.18.,라보에이치,,0.0,,,,,
