content,score,date,option
포장을 좀 더 꼼꼼히 부탁드려요,1,22.10.09.,옵션: 힘없는 샴푸 400ml+2종 증정
지성투피는. 비추천입니다.,1,21.04.28.,
이거 완전 사기꾼 새끼들 이에요 물건 보내지도 않고 직접배송으로 해놔서 취소도 못하게 하고 네이버에서는 이런 판매자 단속도 못하나요???이렇게 돈벌고 싶을까 싶네요 얼마나 잘사나보자,1,23.06.21.,선택: 힘없는 모발용 샴푸 400ml
주문 한 상품이 아닌 다른 상품이 와서 어머니와 말다툼을 했네요. 반품을 할려고 했더니 작은 용량의 상품이 배송 될 수도 있다고 해서.......이런 중요 한 내용의 글들은 메인 상단에 적어 놓으세요.,1,22.12.17.,
물건이 잘못하면 펌프쪽 부숴질수도있는데 뽁뽁이로 감아서 와도모자랄판에 샴푸만 덩그라니 넣어서 보내주셨네요.,1,23.02.03.,
지성두피와 힘없는 모발용을 주문했는데 지성두피용 2개와 왔네요. 해외거주라 교환도 할수 없고 지마켓 오래 사용했지만 잘못 물건 오는건 처음이네요,1,22.06.04.,
샴푸 한개 배달 오는데 일주일 걸림. 그냥 마트에서 살걸 그랬네요.,1,21.10.07.,
머리가 너무 푸석해집니다....두세번 쓰고 도저히 못쓰겠어요..,1,22.09.10.,수량: 1개
저렴하게 사서 기분은 좋은데요 우통기한이 넘 짧아요,1,20.12.23.,
400미리 본품 샴푸 2개아니에요??2개라해서 구매햇는데 한개만 왔네요??확인해주세요???,1,22.10.05.,옵션: 힘없는 샴푸 400ml+2종 증정
저는 사용하고 비듬이 많이생겨 다른걸로바꿨어요,1,22.04.28.,
배송너무 느려서 비누로 감다가 머리 다빠지네요.,1,21.11.17.,
아빠 드리려고 하나 사고 제꺼 하나 샀는데오배송으로 제품이 좋은지 경험도 못했네요,1,21.12.16.,
자기네맘데로용량을바꿔서보냈네요,1,23.02.08.,
여기 송장도 나중에 알려주고 배송도 느리고 직접 구매발송하지 않는듯합니다 조심하셔야 합니다,1,22.08.04.,
가렵고 여드름남 저한텐 안맞아요,1,23.01.10.,
너무 비싸게 샀어요반품 원해요,1,20.11.12.,
증정용을 보낸거같은…?,1,23.03.22.,옵션: 힘없는 샴푸 400ml
타사 삼푸량 별 차이 없음,1,21.12.04.,
배송이 너무 느리네요,1,21.11.17.,
배송이 너무 늦네요,1,23.01.30.,
시         안살라요,1,23.01.28.,힘없는 모발용 샴푸 400ml: 400ml
배송이 느립니다..,1,22.07.23.,
not for sale 별로..,1,22.07.22.,
not for sale,1,22.07.06.,
세트용,1,22.08.03.,
판매용 아닌 제품 판매중무조건 200ml 2개 파는 듯,1,22.12.07.,
배송 오래걸려서 환불해달라고 하니 답변도 없고 취소요청하니 바로 배송하는 클라쓰 ^^ 정말 대단하십니다 오래 장사하세요 ^^,1,22.07.11.,
슈팅배송이라 샀는데 배송 겁나 느림,1,22.09.19.,
"제품 자체는 좋습니다..다만, 배송과정에서 불만을 제기합니다. 제품이 출발했으면 했다 송장등록이 되야하는데 배송흐름이없어서 주문취소 후 다른쇼핑몰에서 주문. 근데 주문취소한날 집에 물건이 온거에요. 그래서 일단 새로 주문한곳에 양해구하고 그쪽을 취소. 그런데 저는 분명 2개를 주문했는데 제품배송이 1개만 왔어요. 아무리 고객센터로전화를 하고 톡톡을남겨도 답이없어서 네이버 고객센터 통해서 문의.근데 다음날 아침에 현관문앞에 나머지 1개가 도착!이게 뭔가요. 1개씩 포장되어있는거 보내주시는건가요. 그럼 미리 양해를 구하시던지. 송장등록을 빨리해서 배송지연이 아닌걸로 인지하게 해주셔야죠.가타부타 연락도없다가. 물건을 따로따로 보내주고는 아직까지 이렇다할 연락도 없네요.다시는 이 쇼핑몰에서 주문 안하겠습니다.",2,22.11.24.,
가늘고 힘없는 모발이기에 샴푸후 모발이 좀 탄탄하길 바랬는데 사용해본 결과 별 효과 없습니다. 기존에 사용하는 제품이 훨씬 좋네요.한가지 좋은 건 향이 좀 좋네요.재구매 의향 없습니다.,2,21.05.01.,
"샴푸는 항상 쓰던거라 좋은데, 배송상태가 최악이네요. 공식몰이라 믿고 구매했는데, 검수를 안하시나봅니다. 조금 더 찌그러졌으면 내용물이 밖으로 나왔을 것 같아요. 귀찮아서 그냥 씁니다.",2,21.06.26.,
제품은 만족합니다 하지만 판매자와 소통이 불편 합니다,2,22.09.01.,
받자마자 기분이..박스는 찢어져있고 내용물에 먼지가 한가득!뽁뽁이라도 한번 감아서 주시지..다행히 파손된건 없었지만 먼지 닦느라 ㅜ,2,21.12.22.,선택: 힘없는 모발용 샴푸 200mlX2개(세트용)
"이 샴푸가 유독 뻑뻑한 느낌이 있네요.평소에 기름기가 많아 컨디셔너,린스를 쓰지 않는데 이 샴푸를 쓰고 나면 머리가 잘 안 빗겨요 ㅠㅠ",2,21.04.26.,
쓰고나면 머리가 뻣뻣해져서 트리트먼트 무조건 써야해요머리가 덜 빠지고 하는건 잘 모르겠어요,2,20.12.22.,
샴푸 400ml+2종증정으로 되어 있어서 저는 샴푸 2개 주는줄 알고 샀는데요 왜 이렇게 써 놓은건지 사은품 2종증정이라고 써야 하는거 아닌지반품 귀찮아서 그냥 사용합니다,2,22.10.05.,옵션: 힘없는 샴푸 400ml+2종 증정
샴푸가 터져서 왔네요 뽁뽁이 처리를 했지만 박스안에공간이있다보니 흔들려서 샜나보네요 처음 사봤는데 기분좋은 마음으로 뜯었다가 손만버리고 기분상했네요,2,21.04.13.,
"캡슐 세트 인줄 알았는데 분명 그렇게 있길래  덤으로 오나하고 원래 두개 가격보다 더 비싸게 시킨건데 안오네요,,,,, 상품 설명 수정하셔야 할듯요..",2,21.09.15.,닥터그루트: 탈모증상 힘없는모발용 샴푸 400ml
머리카락빠지는건 예전과 동일하고 더 푸석해진 머릿결에 가격비싸게 주고 샀는데 재구매는 못할것 같아요,2,22.08.24.,
구형모델이 왔네요...리뉴얼은 성분이 조금씩 다르던데. 그냥 써봅니다..,2,22.10.27.,
3회 이용중이며 아직 잘 모르겠어요,2,21.10.26.,
머리결이 점점 엉키고 엉망되네요,2,22.05.22.,선택: 힘없는 모발용 샴푸 400ml
배송이 넘 느렸어요,2,23.03.23.,선택: 힘없는 모발용 샴푸 400ml
배송이 너무느려서 ,2,23.07.18.,
상자에뽁뽁이로물건안감싸고 물건만딱넣어서보냈네요?,2,20.09.26.,
신뢰의 문제죠ㅠㅠ 어쩐지 가격이~~펌프없는 200ml 2개 사진을 앞에 올리시길!어쩐지 속은 느낌은 뭘까요?박스가 작아 모지 열고 황당 새상품 같지 않은 느낌도 별루~~!!,2,23.05.24.,
엄마한테 보내드린건데 배송 엄청엄청 늦어서 별 두개만 줄게요… 연락도 안되고 배송 일주일 걸림,2,22.02.21.,
배송이 늦어 언제 배송되냐고 문의해도 답변없고 일주일 넘어서야 받았네요,2,23.02.02.,옵션: 힘없는 샴푸 200ml x 2(400ml)
"탈모방지효과를 대대로 선전하는데솔직히 시중에 나온 탈모샴푸댕XXX, 려, TS 등등 다써봤으나효과 없음별로 큰 기대는 안하고 삼그런데샘플용샴푸나 좀 넣어 보내주지뜬금없이 웬 머그컵사은품인줄도  모르고 주문했네게다가 기왕에 보내줄거면흰색을 보내줘야지검정색 머그컵 쓰는 사람도 있음?",3,23.01.21.,
감사합니다. 항 상 주문하는 상품 입니다. 다들 아시는 상품이니 뭐 이젠 왠지 집안에 항상 비치되어 있어야 하는 상품중에 하나가 된듯 하네요.. ^^ .. 상품이야 항상 사용하다 보니 뭐 괜찮은 사품이네요 다음부터 빠른 배송 부탁드립니다.,3,22.03.17.,
글쎄요… 저한텐 잘 안맞나바요.. 몇일  사용했을땐 머리 카락이 좀 덜빠지는 느낌이었지만 그 후엔 다시 원상태로 돌아가더니 머리카락에 더 힘도 볼륨도 없어지고 얇아진것같아서 그냥 예전에 사용하던걸로 다시 갈아탔내요…,3,21.11.24.,선택: 트리트먼트180MLx2개(세트용)
아직 쓰던것이 있어서 안 써봤는데 쓰고 효과있으면 고마운 마음으로 한달후기 남길께여..마트에서 2만원에 팔더라구요..착한 가격에 주셔서 좋았고 김희철님 모델이신데 배반하시면 안됩니다..요즘 머리감고 너무 빠져서 깜짝 놀랬거든요..효과 있길 바래요..,3,21.11.17.,
주문하고 일주일이 지나서야 물건 받았어요트리트먼트랑 같이주문했는데 트리트먼트만 와서 황당했어요 주말이라 남긴메세지를 월요일확인하고 화요일 물건을 발송해 주셔서 오늘에서야 받게되었네요  물건주문 많이 해봤는데 이런경우는 처음이네요,3,20.12.03.,
샴푸향기때문에별3개입니다이제일주일정도썼습니다 아직은머리빠지는양이줄어들진않았습니다샴푸후뻣뻣한느낌없습니다다만...향이....남자스킨냄새...일반적인 남자스킨향ㅡㅡ제가싫어하는향이라...(개인적취향)신랑은크게심하진않다고하는데..저는좀..ㅜㅜ근데헹구고나면또괜찮아요~~~,3,22.07.25.,
이렇게 상품평 쓴 적 없는데 응대  개선이 필요한  판매자입니다.   주문하고 며칠이 지나도록   발송 안해서  문의글 남겼는데 답변 없고 기다리다  취소요청 했더니 취소 거부하고  직접배송으로 바꿔버려서  배송조회도 안되더라구요  그 후 며칠 더 흐르니 상품 도착.   탈모샴푸 사려다  스트레스로 더 탈모 오겠네요,3,23.03.24.,선택: 힘없는 모발용 샴푸 400ml
좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요,3,21.04.17.,
조아요조아요조아요조아요조아요조아요,3,22.03.03.,선택: 힘없는 모발용 샴푸 400ml
사용하던거라 구매했어요... 싼 가격에 세트용인줄을 알고는 샀지만...  막상 세트용이라고 써 있는걸 받고 보니 기분은 썩...;;; 효능은 같은거니까..... ㅎㅎㅎ,3,22.01.08.,선택: 힘없는 모발용 샴푸 200mlX2개(세트용)
사용한지 이틀되어서 일단 현재까지 사용후기요거품은 적당히 일어나고요향은 국산 한방삼푸 냄새가 나고요머리결은 닥터 포 헤어 보단 부드러워집니다한달후 후기에 다시 올리지요,3,20.09.18.,
샴푸향이 과하지않고 깔끔하고 거품도 적당해요몇번 안써봐서 효과가 드라마틱하진 않아요꾸준히써볼게요,3,22.01.23.,
탈모에 좋다길래 사서 쓰는데  한방냄새가  나니  좋구요 거품이 많이 나서 좋아요,3,22.09.13.,
적당한 가격에 괜찮은 것 같아요,3,20.11.11.,
만족합니다 좋아요오,3,20.12.23.,
항상쓰고있는 제품이에요~근데 제품이 파손되어서 왔어요 그래서 별점한개를 뺐어요.,3,22.04.28.,
탈모에 좋다고 해서 사봤는데 음 아직까진 잘 모르겠어요 ㅠ 그래도 꾸준히 사용하면 좋아지겠지요~,3,21.12.06.,선택: 400mlX1개
탈모증상 완화에 도움을 준다고해서 꾸준히 사용하고 있습니다. 세정력이 좀 낮은 부분 빼고는 전반적으로 만족합니다.,3,22.12.01.,닥터그루트 샴푸: No.1) 400ml (200mlx2개입)
배송이 넘 늦져서 취소를 했는데 왔네요 ㅠ아직 안써봤어요써보고  리플 다시 올릴께요,3,22.08.11.,
탈모에 도움되는거 같지는않은데 머리결은 두꺼워진거 같아재 구매했어요.,3,21.09.09.,
한방샴푸 같아요비싼데 저렴하게 잘 샀어요스벅머그도 고급스러워요,3,23.03.15.,
제품은 잘 받았으나 배송도 느리고 문의에 대답도 없는게 아쉽네요.,3,22.07.14.,
공식몰 정가 무척 비싼데 그돈주고는 못쓰고그냥 적당 보통 이에요,3,23.01.09.,
상품평이 좋아 구매했는 데 개인적으르 잘 맞지 않아서 아쉽네요,3,23.02.08.,"선택 / 단일옵션 / 21,500원  / "
힘없는 모발에 좋다해서 신청했어요몇일안써서 아직은 모르겄어요좀더써보고 좋았음합니다,3,22.03.24.,
늘쓰던거예요.배송 땜에 좀 짱났지만 어쨌든 받았으니..되쓰요,3,22.11.16.,
주변 평이 좋아서 구매해봤는데 저한테는 잘 안맞는것 같아요,3,23.03.05.,힘없는 모발용 샴푸 400ml: 400ml
다른제품 쓰고 있는데 괜찮다는 평 보고 구매합니다신랑이 써보고^^후기 다시 올려볼께요ㅎㅎ,3,21.04.07.,
잘 받았고 서비스 스타벅스컵 너무 커서 활용도가 낮네요,3,23.03.18.,
생각보다 기능성 삼퓨향이 조금 쎄요…ㅜㅜ 머리 덜 빠지는지는 더 써봐야할 것 같아요,3,21.10.29.,
닥터 그루트 샴푸처음 사용해 보는데 괜찮은 거 같아요,3,22.12.10.,
머리카락이 힘이 없어서 계속 사용하고 있어요,3,22.02.26.,
이전부터사용하던거라 세일할때 구매했어요!!,3,22.08.17.,옵션: 힘없는 샴푸 400ml 2개+3종 증정
머리 빠짐은 일반 샴푸 자체 유분도 한몫하기에 가성비 좋은 탈모샴푸라 쓰고 있어요.,3,21.09.23.,선택: 200mlX2개(세트용)
샴푸 유목민입니다. 평이 좋아서 구매했어요. 한달 써보고 다시 후기 올리겠습니다.,3,23.06.30.,옵션: 힘없는샴푸 400ml
"아직 써보진 않았지만, 리뷰를 믿어봅니다",3,22.04.11.,
써보니 좋네요. 일단 덜 빠지는거 같아요.,3,23.04.09.,선택: 02 힘없는모발용 샴푸400ml x 1개
아직안썼어요 좋겟네요 ㅎㅎ 잘쓸게요,3,23.03.21.,
다른 제품쓰다  평이좋아서구매해봐요,3,22.10.07.,옵션: 힘없는 샴푸 400ml+2종 증정
좋은 기회에 잘 구매해서 만족해요,3,23.03.08.,
신속한배송 저렴한가격 좋은품질,3,22.03.03.,선택: 힘없는 모발용 샴푸 400ml
배송 빠르고 괜찮은 것 같아요,3,23.06.22.,선택: 02 힘없는모발용 샴푸400ml x 1개
포장도 좋고 향고 맘에들어요,3,21.05.08.,
첨 써보는데 무난합니다^^,3,22.11.07.,옵션: 힘없는 샴푸 400ml+2종 증정
재구매의사는없습니다,3,21.04.14.,
써보고 또 구입할께요,3,22.12.23.,선택: 힘없는모발용샴푸 400ml
잘받았어요 잘쓸께요,3,22.12.15.,단일상품;단일상품[1개]
여기가 제일 싸네요,3,21.03.24.,
항상 쓰는 제품입니다쓰고 나서 머리카락 힘도 생기고 좋습니다!,3,22.02.18.,
어머니께서 늘 쓰시던 제품인데 저렴해서 구입했어요 근데 배송이 너무 느려요 1주일정도 되서야 받았고 심지어 400ml 짜리는 배송지연 되어 아직도 못받고 있어요ㅠㅠ가격이 저렴하나 배송 너무 느리네요그거 빼면 만족해요,3,23.02.19.,옵션: 힘없는 샴푸 200ml x 2(400ml)
음 생각보다 향이 흔한향이네요,3,22.04.19.,
배송이... 너무 안와서 취소시켰더니 집에 와있네요ㅎㅎ배송 정보를 문건 받기전까지 모르고 배송은 잊을만하니깐 왔어요! 물건 가격은 제일 쌉니다,3,22.11.12.,
이제 막 사용중이요.요즘 머리가 너무 많이 빠져서 추천받고 구매했어요.거품도 잘 나고 머리감고 나면 약간 시원한 느낌도 나요한방향과  머스크향? 섞인듯한 향이네요거북할정돈 아닙니다. 효과있길 바라면 꾸준히 써볼게요.,3,21.10.20.,
좋아요좋아요좋아요좋아요,3,22.05.06.,
감사합니다. 항 상 주문하는 상품 입니다. 항상 사용하다 보니 뭐 괜찮은 상품이네요 다음부터 빠른 배송 부탁드립니다.,3,22.11.11.,
2일에오전주문하고6일오후에받았어요~넘오래걸려까먹고있었네요ㅋㅋ,3,22.08.06.,
확실히 모르나 쓰면 일반샴푸보다 탈모예방에좋을듯해서 구매,3,22.01.20.,
그냥 기대감과 심리적 위안정도이고 가격만 비싸고 효과없음,3,23.01.10.,
다른 곳보다 싸게 구매했습니다 상품이야 다들 아실듯...,3,23.04.01.,선택: 힘없는 모발용 샴푸 400ml
더 써봐야 알겟지만 꾸준히 써보고 한달리뷰 남길께요~~,3,22.03.10.,
이샴푸원래비싼건가요그만큼효과가있었으면좋겠어요,3,22.11.19.,닥터그루트 샴푸: 600ml (200mlx3개입)
배송은 빨랐구요~~아직 두번써서는 잘모르겠네용,3,21.10.25.,
네 전반적으로 좋습니다. 추후 구매 또 할께요.!,3,22.02.28.,
잘사용중...탈모방어가 되고있는지 모르겠어요,3,21.08.28.,
탈모에도움이된다고하니 꾸준히 써볼려구요.,3,22.04.11.,
아직은 잘 모르겠어요 더써봐야 할것 같아요,3,21.12.27.,
한달가까이 사용하고 있는데기능은 글쎄요,3,23.01.05.,
배송이빠릅니다 상품평이 좋아 써볼려구요,3,21.04.22.,
아직 일주일안됬는데 좀더 써봐야겠어요,3,22.02.24.,
처음 구매했는데 거품이 잘 안생겨요ㅠ,3,21.12.26.,선택: 탈모증상완화 힘없는모발용샴푸
아직 초반이라 잘 모르지만 좋은느낌,3,21.09.16.,
힘이 생긴다기 보다 뻗뻗해지는 느낌,3,21.10.25.,
이제 처음으로 구입한...기대됩니다.,3,21.07.28.,
사은품으로 주는 컵이 별로네요. ㅋ,3,23.01.10.,
세트용인거 알고 구입했는데작네요,3,22.08.26.,닥터그루트: 힘없는모발용 샴푸 200ml x 2개(세트용)
닥터그루트 샴푸 자주 구매합니다. ,3,23.02.14.,
평소사용하던거예요.잘쓰고 있어요,3,22.10.27.,
자주쓰는 제품이라 재주문 했어요.,3,22.03.30.,닥터그루트: 힘없는 모발용 샴푸 400ml x 2개
탈모가 조금있어서 사용중 입니다,3,22.03.14.,
늦게 받기는 했는데 잘 받았어요,3,22.04.05.,
아직사용전이지만 좋아보이네요,3,22.04.02.,
할머니가 좋다고하셔서 사드림,3,22.09.06.,닥터그루트: 힘없는모발용 샴푸 400ml x 1개
괜찮을 것 같아서 구매했어요!,3,21.06.03.,
남편이 사달래서 사줌넘비쌈,3,21.07.12.,
배송이 빨라서 좋았습니다,3,23.01.01.,힘없는 모발용 샴푸 400ml: 400ml(200ml x 2개입)
비싸지만 탈모예방을위해,3,21.10.07.,
언제나 즐겨 쓰고 있어요,3,22.05.01.,
그냥저냥 그러네요~~^^,3,22.04.02.,
아직 안써봐서 모름요,3,22.08.04.,
배송 잘 받았습니다~~,3,23.01.29.,힘없는 모발용 샴푸 400ml: 600ml(200ml x 3개입)
배송진행 상황을 바로바로 업데이트해주시면 좋을 것 같아요. 상품준비중이라고만 떠서 답답했는데 택배가 와서 당황스러웠습니다.,3,22.08.11.,
샴푸 두개중 한개 꼭지부분 깨져서 왔습니다ㅜ.ㅜ 혹시 꼭지부분만 보내주시면 안되나요?,3,22.08.16.,
배송이 너무 느렸어요 ㅠㅠ,3,22.02.28.,
순해서 매번 구매해서 사용해요,3,21.11.18.,
좋어요 cjeieidjjdj,3,22.09.10.,수량: 1개
포장상태 배송기간 ㅜㅜㅜ,3,22.09.24.,
향기 좋아요. 머리 탈모 도움되는지 더 써보겠습니다,3,23.01.31.,힘없는 모발용 샴푸 400ml: 600ml(200ml x 3개입)
좋아요 담 또사러올께요 감사합니다 너무,3,23.03.01.,
늘 쓰던제품이라 만족합니다 좋아요,3,23.06.28.,수량선택: 1개
상품은 좋고 좋은가격에 샀는데 결제 하고 2~3동안 안오길래 배송은 언제 되는지 문의 드리는데 답변은 없으시네요ㅠ 그런 피드백이 없는게 아쉬워요,3,22.07.17.,
너무 좋아요 주변사람에게 추천!,3,22.01.12.,
좋아요.   다음에또구매할께요,3,22.06.12.,닥터그루트: 손상모발용 샴푸 400ml x 1개
좋아요. 다음에또구매할께요,3,22.05.10.,닥터그루트: 손상모발용 샴푸 400ml x 1개
좋아요다음에  또구매할께요,3,22.10.16.,닥터그루트: 손상모발용 샴푸 400ml x 1개
역시 좋아요. 강추에요,3,23.07.24.,수량선택: 3개(400원할인)
가격대비  좋아요....,3,21.09.07.,
늘 쓰던제품이구요 다음에도 또 이용해보려구요.,3,21.05.14.,
샴푸는 좋아요 배송은 진짜 느립니다 제대로된 송장번호도 안주시네요ㅋㅋ,3,22.08.13.,
1111111111,3,20.12.19.,
11111111111,3,20.11.16.,
좋아요 좋아요 좋아,3,21.11.20.,
민감성 두피와 약간의 복합성 한테는 잘 어울리지 않는 제품인 것 같아 다른 젶무 찾아보려고요. 감사합니다.,3,22.05.23.,선택: 힘없는 모발용 샴푸 400ml
모발이 힘이 없어 몇 년동안 계속 사용하여 오고 있는데 효과는 글쎄 아직까지는 잘 모르겠네요???,3,23.04.30.,
늘 쓰던건데 포뮬러가 바꼈나요? 기존보다 빨리 기름지고 정수리 냄새도 잘 못 잡아줍니다.,3,22.11.15.,
그냥 다른제품에 비해 거품도 잘나고 머리결도 좋아졌으나 탈모효과는 글쎄.,3,21.12.24.,선택: 트리트먼트180MLx2개(세트용)
아이들하고 같이 사용하려고 구입했는데 두피에 자꾸 뾰루지가 생기네요 TT,3,22.06.03.,선택: 400mlX1개
처음 주문해본 제품이에요 요즘 모발이 가늘어지고 많이 빠지는 것같아 주변의 추천으로 주문해봅니다 효과있음 좋겧어요,3,22.02.22.,
배송이 너무 느려 한참동안 기다려 도착했어요 제품은 만족합니다,3,21.02.10.,
탈모샴푸찾다  광고보고 구매했어요 거품은 풍성하게 잘나네요,3,21.05.01.,
오늘 처음써봤는데 거품이 풍부했어요.한달후 재후기 남길께요,3,22.12.26.,닥터그루트: 힘없는모발용 샴푸 200ml x 2개(세트용)
세정력이 너무 강한건지 머릿결이 너무 뻣뻣해서 머리카락이 오히려 더많이 빠지는거 같아요.,3,23.05.27.,선택: 02 힘없는모발용 샴푸400ml x 1개
덩그러니 샴푸만 들어있어서 파손안된게 다행이다 싶네요,3,20.10.25.,
배송은 빨랐지만 펌핑 없는 세트용이 와서 아쉬웠습니다.,3,22.10.28.,
늘쓰던 제품이고 저렴해서 구매했는데 배송이 노무 느림,3,22.10.24.,
탈모 샴푸라는데  잘 모르겠음  거품은 잘나네요,3,20.11.19.,
배송 빠르고 제품 몇칠사용했는데 괜찮네요,3,22.01.11.,
솔직히 잘모르겠어요   거품은 풍성합니다,3,21.11.27.,
배송도 빠르고 늘 쓰는 제품이라 좋아요,3,21.03.26.,
아직 뭐가 좋은지 모르겠음효과를 모름,3,22.03.14.,
항상쓰더거라 믿고 쓰네요  감사합니다,3,22.08.22.,
믿고 구매하는거라 좋은점이 많아요,3,22.04.26.,
탈모효과를 기대했는데 잘모르겠다,3,20.09.25.,
빠른 배송 좋아요. 재구매할게요,3,23.06.22.,수량선택: 3개(400원할인)
세정력이 너무 강해 뻑뻑합니다,3,22.06.11.,
다른샴푸보다 거품 향 괜찮아요,3,21.12.19.,
정말빠른 배송에 감사드립니다.,3,21.04.29.,
십일절에 저렴하게 구매했어요,3,22.11.14.,
처음 써보는거라 탈모효과있길,3,23.02.09.,닥터그루트: 힘없는모발용 샴푸 400ml x 1개
조아요.. 두번째 주문 이에요..,3,21.02.28.,
머리가 더 나는진 몰라도 더 빠지진 않는거 같아요 향도 좋고 세정력도 좋아요,3,21.05.08.,
향기 좋아요 더 써보겠습니다,3,23.01.31.,힘없는 모발용 샴푸 400ml: 400ml
그냥저냥 가격은비쌉니다.....,3,22.12.21.,
가성비도 좋고 배송도빨라요,3,21.11.23.,
배송 빠르고 괜찮은거같아요,3,22.11.07.,
배송오래걸리네요  잘쓸게요,3,21.04.15.,
배송도빠르고물건도좋아요 ,3,22.05.13.,
좋아요항상구매하구있어요,3,22.01.05.,닥터그루트: 손상모발용 샴푸 400ml x 1개
늘쓰던거라 마음에듭니다.,3,21.12.16.,
좋아요다음에 또구할께요.,3,21.06.29.,닥터그루트 더마솔루션: 탈모증상 손상모발용 샴푸 400ml
